Period_Type,Period,Quarter,Product_A,Product_B,Product_C,Product_D,Total_Sales,Growth_Rate
Monthly,January,Q1,70.0,55.0,37.0,17.0,179.0,
Monthly,February,Q1,80.0,36.0,29.0,19.0,164.0,-8.37988826815642
Monthly,March,Q1,85.0,56.0,51.0,29.0,221.0,34.75609756097562
Monthly,April,Q2,74.0,35.0,43.0,37.0,189.0,-14.479638009049777
Monthly,May,Q2,69.0,80.0,23.0,27.0,199.0,5.291005291005302
Monthly,June,Q2,92.0,65.0,38.0,16.0,211.0,6.030150753768848
Monthly,July,Q3,64.0,65.0,34.0,19.0,182.0,-13.744075829383885
Monthly,August,Q3,96.0,79.0,49.0,40.0,264.0,45.05494505494505
Monthly,September,Q3,51.0,42.0,24.0,44.0,161.0,-39.015151515151516
Monthly,October,Q4,77.0,72.0,55.0,24.0,228.0,41.61490683229814
Monthly,November,Q4,82.0,64.0,50.0,33.0,229.0,0.43859649122806044
Monthly,December,Q4,64.0,36.0,53.0,26.0,179.0,-21.834061135371176
Quarterly_Avg,Q1 Average,Q1,78.33333333333333,49.0,39.0,21.666666666666668,188.0,
Quarterly_Avg,Q2 Average,Q2,78.33333333333333,60.0,34.666666666666664,26.666666666666668,199.66666666666666,
Quarterly_Avg,Q3 Average,Q3,70.33333333333333,62.0,35.666666666666664,34.333333333333336,202.33333333333334,
Quarterly_Avg,Q4 Average,Q4,74.33333333333333,57.333333333333336,52.666666666666664,27.666666666666668,212.0,
Quarterly_Total,Q1 Total,Q1,235.0,147.0,117.0,65.0,564.0,
Quarterly_Total,Q2 Total,Q2,235.0,180.0,104.0,80.0,599.0,
Quarterly_Total,Q3 Total,Q3,211.0,186.0,107.0,103.0,607.0,
Quarterly_Total,Q4 Total,Q4,223.0,172.0,158.0,83.0,636.0,
